ID," City, State",Bank Name,Press Release (PR),Closing Date,Approx. Asset (Millions),Approx. Deposit (Millions),Acquirer & Transaction
1," New York, NY",Signature Bank,PR-018-2023,12-Mar-23,110400,88600,"To protect depositors, the FDIC transferred all the deposits and substantially all of the assets of Signature Bank to Signature Bridge Bank, N.A., a full-service bank that will be operated by the FDIC as it markets the institution to potential bidders."
2," Santa Clara, CA",Silicon Valley Bank,PR-016-2023; PR-019-2023,10-Mar-23,209000,175400,"To protect depositors, on Monday, March 13, 2023, the FDIC transferred all the deposits, both insured and uninsured, of Silicon Valley Bank to Silicon Valley Bridge Bank, N.A. a full-service 'bridge bank' that will be operated by the FDIC as it markets the institution to potential bidders."
3," Almena, KS",Almena State Bank,PR-119-2020,23-Oct-20,70,68.7,Equity Bank has agreed to assume all deposits.
4," Fort Walton Beach, FL",First City Bank of Florida,PR-112-2020,16-Oct-20,134.7,131.4,"United Fidelity Bank, fsb has agreed to assume all deposits."
5," Barboursville, WV",First State Bank,PR-046-2020,3-Apr-20,152.4,139.5, MVB Bank has agreed to assume all deposits excluding certain brokered deposits.retain the remaining assets for later disposition.
6," Ericson, NE",Ericson State Bank,PR-011-2020,14-Feb-20,100.9,95.2,Farmers and Merchants Bank has agreed to assume all deposits.
7," Newark, NJ",City National Bank of New Jersey,PR-101-2019,1-Nov-19,120.6,111.2,Industrial Bank has agreed to assume all deposits.
8," Maumee, OH",Resolute Bank,PR-097-2019,25-Oct-19,27.1,26.2,Buckeye State Bank has agreed to assume all deposits.
9," Louisa, KY",Louisa Community Bank,PR-096-2019,25-Oct-19,29.7,26.5,Kentucky Farmers Bank Corporation has agreed to assume all deposits.
10," Cooper, TX",The Enloe State Bank,PR-046-2019,31-May-19,36.7,31.3,"Legend Bank, N.A. has agreed to assume the insured deposits."
11," Chicago, IL",Washington Federal Bank for Savings,PR-096-2017,15-Dec-17,166.3,144,Royal Savings Bank has agreed to assume the non-brokered insured deposits.
12," Argonia, KS",The Farmers and Merchants State Bank of Argonia,PR-080-2017,13-Oct-17,34.2,29.6,Conway Bank has agreed to assume all deposits.
13," Saint Elmo, IL",Fayette County Bank,PR-041-2017,26-May-17,34.4,34,"United Fidelity Bank, fsb has agreed to assume all deposits."
14," Milwaukee, WI, (d/b/a BestBank in Georgia & Michigan)",Guaranty Bank,PR-037-2017,5-May-17,1000,1000,First-Citizens Bank & Trust Company has agreed to assume all deposits.
15," New Orleans, LA",First NBC Bank,PR-034-2017,28-Apr-17,4740,3540,"Whitney Bank has agreed to assume the transactional deposits (approximately $1.6 billion), and to purchase approximately $1 billion of the failed bank's assets. The FDIC mailed checks for the time deposits (CDs and IRAs) and retained the remaining assets for later disposition."
16," Cottonwood Heights, UT",Proficio Bank,PR-019-2017,3-Mar-17,68.2,65,Cache Valley Bank has agreed to assume all deposits.
17," Chicago, IL",Seaway Bank and Trust Company,PR-009-2017,27-Jan-17,361.2,307.1,State Bank of Texas has agreed to assume all deposits.
18," Pennsville, NJ",Harvest Community Bank,PR-004-2017,13-Jan-17,126.4,123.8,First-Citizens Bank & Trust Company has agreed to assume all deposits.
19," Mulberry, AR",Allied Bank,PR-082-2016,23-Sep-16,66.3,64.7,Today's Bank has agreed to assume all deposits.
20," Woodbury, GA",The Woodbury Banking Company,PR-069-2016,19-Aug-16,21.4,21.1,United Bank has agreed to assume all deposits.
21," King of Prussia, PA",First CornerStone Bank,PR-038-2016,6-May-16,103.3,101,First-Citizens Bank & Trust Company has agreed to assume all deposits.
22," Memphis, TN",Trust Company Bank,PR-034-2016,29-Apr-16,20.7,20.3,The Bank of Fayette County has agreed to assume all deposits.
23," Milwaukee, WI",North Milwaukee State Bank,PR-020-2016,11-Mar-16,67.1,61.5,First-Citizens Bank & Trust Company has agreed to assume all deposits excluding certain brokered deposits.
24," Longview, WA",Hometown National Bank,PR-078-2015,2-Oct-15,4.9,4.7,Twin City Bank has agreed to assume all deposits.
25," Peachtree City, GA",The Bank of Georgia,PR-077-2015,2-Oct-15,294.2,280.7,Fidelity Bank has agreed to assume all deposits.
26," Denver, CO",Premier Bank,PR-060-2015,10-Jul-15,31.7,29.6,"United Fidelity Bank, fsb has agreed to assume all deposits."
27," Chicago, IL",Edgebrook Bank,PR-040-2015,8-May-15,90,90,Republic Bank of Chicago has agreed to assume all deposits.
28," San Juan, PR",Doral Bank,PR-024-2015,27-Feb-15,5900,4100,"Banco Popular de Puerto Rico, Hato Rey, PR has agreed to accept all deposits. Banco Popular de Puerto Rico, entered into separate agreements to transfer deposits and assets in specific markets to Banco Popular North America, New York, NY, FirstBank Puerto Rico, Santurce, PR, and Centennial Bank, Conway, AR."
29," Atlanta, GA",Capitol City Bank & Trust Company,PR-016-2015,13-Feb-15,272.3,262.7,First-Citizens Bank & Trust Company has agreed to assume all deposits.
30," Chicago, IL",Highland Community Bank,PR-007-2015,23-Jan-15,54.7,53.5,"United Fidelity Bank, fsb has agreed to assume all deposits."
31," Crestview, FL",First National Bank of Crestview,PR-006-2015,16-Jan-15,79.7,78.6,First NBC Bank has agreed to assume all deposits.
32," Mankato, MN",Northern Star Bank,PR-112-2014,19-Dec-14,18.8,18.2,BankVista has agreed to assume all deposits.
33," FSB, D/B/A El Paseo Bank, Palm Desert, CA",Frontier Bank,PR-097-2014,7-Nov-14,86.4,82.1,"Bank of Southern California, N.A. has agreed to assume all deposits."
34," Chicago, IL",The National Republic Bank of Chicago,PR-089-2014,24-Oct-14,954.4,915.3,State Bank of Texas has agreed to assume all deposits excluding certain brokered deposits.
35," Rising Sun, MD",NBRS Financial,PR-085-2014,17-Oct-14,188.2,183.1,Howard Bank has agreed to assume all deposits.
36," fsb, Chicago, IL",GreenChoice Bank,PR-062-2014,25-Jul-14,72.9,71,"Providence Bank, LLC has agreed to assume all deposits."
37," Conyers, GA",Eastside Commercial Bank,PR-058-2014,18-Jul-14,169,161.6,Community & Southern Bank has agreed to assume all deposits.
38," Freedom, OK",The Freedom State Bank,PR-050-2014,27-Jun-14,22.8,20.9,Alva State Bank & Trust Company has agreed to assume all deposits.
39," Fort Lauderdale, FL",Valley Bank,PR-048-2014,20-Jun-14,81.8,66.5,"Landmark Bank, National Association has agreed to assume all deposits."
40," Moline, IL",Valley Bank,PR-047-2014,20-Jun-14,456.4,360,Great Southern Bank has agreed to assume all deposits.
41," Bel Air, MD",Slavie Federal Savings Bank,PR-041-2014,30-May-14,140.1,111.1,"Bay Bank, FSB has agreed to assume all deposits."
42," Cincinnati, OH",Columbia Savings Bank,PR-036-2014,23-May-14,36.5,29.5,"United Fidelity Bank, fsb has agreed to assume all deposits."
43," Berwyn, IL",AztecAmerica Bank,PR-034-2014,16-May-14,66.3,65,Republic Bank of Chicago has agreed to assume all deposits.
44," Fairfax, SC",Allendale County Bank,PR-31-2014,25-Apr-14,54.5,51,Palmetto State Bank has agreed to assume all deposits.
45," Horsham, PA",Vantage Point Bank,PR-017-2014,28-Feb-14,63.5,62.5,First Choice Bank has agreed to assume all deposits.
46," National Association, Sterling, VA",Millennium Bank,PR-016-2014,28-Feb-14,130.3,121.7,WashingtonFirst Bank has agreed to assume all deposits.
47," Boise, ID",Syringa Bank,PR-007-2014,31-Jan-14,153.4,145.1,Sunwest Bank has agreed to assume all deposits excluding certain brokered deposits.
48," El Reno, OK",The Bank of Union,PR-005-2014,24-Jan-14,331.4,328.8,BancFirst has agreed to assume all deposits excluding certain brokered deposits.
49," West Chicago, IL",DuPage National Bank,PR-004-2014,17-Jan-14,61.7,59.6,Republic Bank of Chicago has agreed to assume all deposits.
50," National Association, The Woodlands, TX",Texas Community Bank,PR-118-2013,13-Dec-13,160.1,142.6,"Spirit of Texas Bank, SSB has agreed to assume all deposits."
51," Graceville, FL",Bank of Jackson County,PR-097-2013,30-Oct-13,25.5,25,First Federal Bank of Florida has agreed to assume all deposits.
52," Edinburg, TX",First National Bank,PR-083-2013,13-Sep-13,3100,2300,PlainsCapital Bank has agreed to assume all deposits.
53," Bridgeport, CT",The Community's Bank,PR-082-2013,13-Sep-13,26.3,25.7,The FDIC has approved the payout of the insured deposits of The Community's Bank.
54," Phoenix, AZ",Sunrise Bank of Arizona,PR-073-2013,23-Aug-13,202.2,196.9,"First Fidelity Bank, National Association has agreed to assume all deposits."
55," Parsons, TN",Community South Bank,PR-072-2013,23-Aug-13,386.9,377.7,"CB&S Bank, Inc. has agreed to assume all deposits and $121.7 million of the assets."
56," Wausau, WI",Bank of Wausau,PR-071-2013,9-Aug-13,43.6,40.7,Nicolet National Bank has agreed to assume all deposits.
57," Fort Myers, FL, also operating as Community Bank of Cape Coral, Cape Coral, FL",First Community Bank of Southwest Florida,PR-069-2013,2-Aug-13,265.7,254.2,C1 Bank has agreed to assume all deposits.
58," Sevierville, TN",Mountain National Bank,PR-050-2013,7-Jun-13,437.3,373.4,"First Tennessee Bank, National Association has agreed to assume all deposits excluding certain brokered deposits."
59," North Las Vegas, NV",1st Commerce Bank,PR-049-2013,6-Jun-13,20.2,19.6,Plaza Bank has agreed to assume all deposits.
60," which did business as Bank of Kenosha, Kenosha, WI",Banks of Wisconsin,PR-046-2013,31-May-13,134,127.6,"North Shore Bank, FSB has agreed to assume all deposits excluding certain brokered deposits."
61," Scottsdale, AZ",Central Arizona Bank,PR-040-2013,14-May-13,31.6,30.8,Western State Bank has agreed to assume all deposits.
62," Valdosta, GA",Sunrise Bank,PR-038-2013,10-May-13,60.8,57.8,Synovus Bank has agreed to assume all deposits.
63," Asheville, NC",Pisgah Community Bank,PR-037-2013,10-May-13,21.9,21.2,"Capital Bank, N.A. has agreed to assume all deposits."
64," Douglasville, GA",Douglas County Bank,PR-034-2013,26-Apr-13,316.5,314.3,Hamilton State Bank has agreed to assume all deposits.
65," Lenoir, NC",Parkway Bank,PR-033-2013,26-Apr-13,108.6,103.7,"CertusBank, National Association has agreed to assume all deposits."
66," Marianna, FL",Chipola Community Bank,PR-030-2013,19-Apr-13,39.2,37.6,First Federal Bank of Florida has agreed to assume all deposits.
67," Orange Park, FL",Heritage Bank of North Florida,PR-029-2013,19-Apr-13,110.9,108.5,FirstAtlantic Bank has agreed to assume all deposits.
68," Lexington, KY",First Federal Bank,PR-028-2013,19-Apr-13,100.1,93.9,Your Community Bank has agreed to assume all deposits.
69," Gold Canyon, AZ",Gold Canyon Bank,PR-026-2013,5-Apr-13,45.2,44.2,"First Scottsdale Bank, National Association, has agreed to assume all deposits."
70," LaGrange, GA",Frontier Bank,PR-018-2013,8-Mar-13,258.8,224.1,HeritageBank of the South has agreed to assume all deposits.
71," Chicago, IL",Covenant Bank,PR-010-2013,15-Feb-13,58.4,54.2,Liberty Bank and Trust Company has agreed to assume all deposits excluding certain brokered deposits.
72," Andover, MN",1st Regents Bank,PR-005-2013,18-Jan-13,50.2,49.1,First Minnesota Bank has agreed to assume all deposits.
73," University Place, WA",Westside Community Bank,PR-002-2013,11-Jan-13,97.7,96.5,Sunwest Bank has agreed to assume all deposits.
74," Sunrise Beach, MO",Community Bank of the Ozarks,PR-146-2012,14-Dec-12,42.8,41.9,Bank of Sullivan has agreed to assume all deposits.
75," Braselton, GA",Hometown Community Bank,PR-134-2012,16-Nov-12,124.6,108.9,"CertusBank, National Association has agreed to assume all deposits."
76," Princeton, IL",Citizens First National Bank,PR-128-2012,2-Nov-12,924,869.4,Heartland Bank and Trust Company has agreed to assume all deposits.
77," Lutz, FL",Heritage Bank of Florida,PR-127-2012,2-Nov-12,225.5,223.3,Centennial Bank has agreed to assume all deposits.
78," Berwyn, PA",NOVA Bank,PR-123-2012,26-Oct-12,483,432.2,The FDIC has approved the payout of the insured deposits of NOVA Bank.
79," Sedalia, MO",Excel Bank,PR-120-2012,19-Oct-12,200.6,187.4,Simmons First National Bank has agreed to assume all deposits.
80," Tamarac, FL",First East Side Savings Bank,PR-119-2012,19-Oct-12,67.2,65.9,"Stearns Bank National Association, has agreed to assume all deposits."
81," Destin, FL",GulfSouth Private Bank,PR-118-2012,19-Oct-12,159.1,151.1,SmartBank has agreed to assume all deposits.
82," Crete, IL",First United Bank,PR-113-2012,28-Sep-12,328.4,316.9,"Old Plank Trail Community Bank, National Association has agreed to assume all deposits."
83," Saint Louis, MO",Truman Bank,PR-106-2012,14-Sep-12,282.3,245.7,Simmons First National Bank has agreed to assume all deposits excluding certain brokered deposits.
84," Bloomington, MN",First Commercial Bank,PR-104-2012,7-Sep-12,215.9,206.8,Republic Bank & Trust Company has agreed to assume all deposits.
85," Waukegan, IL",Waukegan Savings Bank,PR-090-2012,3-Aug-12,88.9,77.5,First Midwest Bank has agreed to assume all deposits.
86," Jasper, GA",Jasper Banking Company,PR-089-2012,27-Jul-12,216.7,213.1,"Stearns Bank National Association, has agreed to assume all deposits excluding certain brokered deposits."
87," Chicago, IL",Second Federal Savings and Loan Association of Chicago,PR-086-2012,20-Jul-12,199.1,175.9,Hinsdale Bank & Trust Company has agreed to assume all deposits.
88," Leawood, KS",Heartland Bank,PR-085-2012,20-Jul-12,110,102.6,Metcalf Bank has agreed to assume all deposits.
89," Woodstock, GA",First Cherokee State Bank,PR-084-2012,20-Jul-12,222.7,193.3,Community & Southern Bank has agreed to assume all deposits.
90," Buford, GA",Georgia Trust Bank,PR-083-2012,20-Jul-12,119.8,117.4,Community & Southern Bank has agreed to assume all deposits excluding certain brokered deposits.
91," Naples, FL",The Royal Palm Bank of Florida,PR-082-2012,20-Jul-12,87,85.1,First National Bank of the Gulf Coast has agreed to assume all deposits.
92," Glasgow, MO",Glasgow Savings Bank,PR-081-2012,13-Jul-12,24.8,24.2,Regional Missouri Bank has agreed to assume all deposits.
93," Ailey, GA",Montgomery Bank & Trust,PR-080-2012,6-Jul-12,173.6,164.4,Ameris Bank has agreed to assume all deposits excluding certain brokered deposits.
94," Lynchburg, TN",The Farmers Bank of Lynchburg,PR-71-2012,15-Jun-12,163.9,156.4,Clayton Bank and Trust has agreed to assume all deposits.
95," Marietta, GA",Security Exchange Bank,PR-070-2012,15-Jun-12,151,147.9,Fidelity Bank has agreed to assume all deposits.
96," Palatka, FL",Putnam State Bank,PR-069-2012,15-Jun-12,169.5,160,Harbor Community Bank has agreed to assume all deposits.
97," Whiteville, NC",Waccamaw Bank,PR-067-2012,8-Jun-12,533.1,472.7,First Community Bank has agreed to assume all deposits excluding certain brokered deposits.
98," Shabbona, IL",Farmers and Traders State Bank,PR-066-2012,8-Jun-12,43.1,42.3,First State Bank has agreed to assume all deposits.
99," Charleston, SC",Carolina Federal Savings Bank,PR-065-2012,8-Jun-12,54.4,53.1,Bank of North Carolina has agreed to assume all deposits.
100," Kingfisher, OK",First Capital Bank,PR-064-2012,8-Jun-12,46.1,44.8,F & M Bank has agreed to assume all deposits.
101," National Association, Sylacauga, AL",Alabama Trust Bank,PR-057-2012,18-May-12,51.6,45.1,Southern States Bank has agreed to assume all deposits excluding certain brokered deposits.
102," National Association, North Lauderdale, FL",Security Bank,PR-052-2012,4-May-12,101,99.1,Banesco USA has agreed to assume all deposits.
103," Palm Desert, CA",Palm Desert National Bank,PR-050-2012,27-Apr-12,125.8,122.8,Pacific Premier Bank has agreed to assume all deposits excluding certain brokered deposits.
104," Pawleys Island, SC",Plantation Federal Bank,PR-049-2012,27-Apr-12,486.4,440.5,First Federal Bank has agreed to assume all deposits.
105," fsb D/B/A InterBank, fsb, Maple Grove, MN",Inter Savings Bank,PR-048-2012,27-Apr-12,481.6,473,Great Southern Bank has agreed to assume all deposits.
106," Gaithersburg, MD",HarVest Bank of Maryland,PR-047-2012,27-Apr-12,164.3,145.5,Sonabank has agreed to assume all deposits.
107," Cambridge, MD",Bank of the Eastern Shore,PR-046-2012,27-Apr-12,166.7,154.5,"To protect the insured depositors, the FDIC created the Deposit Insurance National Bank (DINB) of Eastern Shore, Cambridge, MD which will remain open until May 25, 2012."
108," FSB, Fort Lee, NJ",Fort Lee Federal Savings Bank,PR-043-2012,20-Apr-12,51.9,50.7,Alma Bank has agreed to assume all deposits.
109," Dearborn, MI",Fidelity Bank,PR-038-2012,30-Mar-12,818.2,747.6,The Huntington National Bank has agreed to assume all deposits.
110," Wilmette, IL",Premier Bank,PR-033-2012,23-Mar-12,268.7,199,International Bank of Chicago has agreed to assume all deposits.
111," Rock Spring, GA",Covenant Bank & Trust,PR-032-2012,23-Mar-12,95.7,90.6,"Stearns Bank National Association, has agreed to assume all deposits."
112," Chicago, IL",New City Bank,PR-029-2012,9-Mar-12,71.2,72.4,The FDIC has approved the payout of the insured deposits of New City Bank.
113," Doraville, GA",Global Commerce Bank,PR-025-2012,2-Mar-12,143.7,116.8,Metro City Bank has agreed to assume all deposits.
114," Little Falls, MN",Home Savings of America,PR-022-2012,24-Feb-12,434.1,432.2,The FDIC has approved the payout of the insured deposits of Home Savings of America.
115," Ellaville, GA",Central Bank of Georgia,PR-021-2012,24-Feb-12,278.9,266.6,Ameris Bank has agreed to assume all deposits.
116," Shelbyville, IN",SCB Bank,PR-018-2012,10-Feb-12,182.6,171.6,"First Merchants Bank, National Association has agreed to assume all deposits excluding certain brokered deposits."
117," Hoffman Estates, IL",Charter National Bank and Trust,PR-017-2012,10-Feb-12,93.9,89.5,"Barrington Bank & Trust Company, National Association has agreed to assume all deposits."
118," Knoxville, TN",BankEast,PR-013-2012,27-Jan-12,272.6,268.8,"U.S. Bank National Association, has agreed to assume all deposits."
119," Forest Lake, MN",Patriot Bank Minnesota,PR-012-2012,27-Jan-12,111.3,108.3,First Resource Bank has agreed to assume all deposits.
120," Franklin, TN",Tennessee Commerce Bank,PR-011-2012,27-Jan-12,1185,1156,Republic Bank & Trust Company has agreed to assume all deposits excluding certain brokered deposits.
121," Jacksonville, FL",First Guaranty Bank and Trust Company of Jacksonville,PR-010-2012,27-Jan-12,377.9,349.5,"CenterState Bank of Florida, National Association has agreed to assume all deposits excluding certain brokered deposits."
122," Boothwyn, PA",American Eagle Savings Bank,PR-007-2012,20-Jan-12,19.6,17.7,"Capital Bank, National Association, has agreed to assume all deposits excluding certain brokered deposits."
123," Stockbridge, GA",The First State Bank,PR-006-2012,20-Jan-12,536.9,527.5,Hamilton State Bank has agreed to assume all deposits excluding certain brokered deposits.
124," Belleview, FL",Central Florida State Bank,PR-005-2012,20-Jan-12,79.1,77.7,"CenterState Bank of Florida, National Association, has agreed to assume all deposits excluding certain brokered deposits."
125," Phoenix, AZ",Western National Bank,PR-195-2011,16-Dec-11,162.9,144.5,"Washington Federal, Seattle, WA has agreed to assume all deposits excluding certain brokered deposits."
126," Crestview, FL",Premier Community Bank of the Emerald Coast,PR-194-2011,16-Dec-11,126,112.1,"Summit Bank, National Association, Panama City, FL has agreed to assume all deposits."
127," Lacombe, LA",Central Progressive Bank,PR-181-2011,18-Nov-11,383.1,347.7,"First NBC Bank, New Orleans, LA has agreed to assume all deposits."
128," Johnston, IA",Polk County Bank,PR-180-2011,18-Nov-11,91.6,82,"Grinnell State Bank, Grinnell, IA has agreed to assume all deposits."
129," Rockmart, GA",Community Bank of Rockmart,PR-178-2011,10-Nov-11,62.4,55.9,"Century Bank of Georgia, Cartersville, GA has agreed to assume all deposits excluding certain brokered deposits."
130," Saint George, UT",SunFirst Bank,PR-177-2011,4-Nov-11,198.1,169.1,"Cache Valley Bank, Logan, UT has agreed to assume all deposits excluding certain brokered deposits."
131," Inc., Omaha, NE",Mid City Bank,PR-176-2011,4-Nov-11,106.1,105.5,"Premier Bank (formerly Purdum State Bank), Purdum, NE has agreed to assume all deposits."
132," Des Plaines, IL",All American Bank,PR-174-2011,28-Oct-11,37.8,33.4,"International Bank of Chicago, Chicago, IL has agreed to assume all deposits."
133," Greenwood Village, CO",Community Banks of Colorado,PR-172-2011,21-Oct-11,1380,1330,"Bank Midwest, National Association, Kansas City, MO has agreed to assume all deposits excluding certain brokered deposits."
134," Jonesboro, GA",Community Capital Bank,PR-171-2011,21-Oct-11,181.2,166.2,"State Bank and Trust Company, Macon, GA has agreed to assume all deposits."
135," Decatur, GA",Decatur First Bank,PR-170-2011,21-Oct-11,191.5,179.2,"Fidelity Bank, Atlanta, GA has agreed to assume all deposits."
136," Clearwater, FL",Old Harbor Bank,PR-169-2011,21-Oct-11,215.9,217.8,"1st United Bank, Boca Raton, FL has agreed to assume all deposits."
137," Aledo, IL",Country Bank,PR-167-2011,14-Oct-11,190.6,167.5,"Blackhawk Bank & Trust, Milan, IL has agreed to assume all deposits excluding certain brokered deposits."
138," Cranford, NJ",First State Bank,PR-166-2011,14-Oct-11,204.4,201.2,"Northfield Bank, Staten Island, NY has agreed to assume all deposits."
139," Inc., Asheville, NC",Blue Ridge Savings Bank,PR-165-2011,14-Oct-11,161,158.7,"Bank of North Carolina, Thomasville, NC has agreed to assume all deposits."
140," Gray, GA",Piedmont Community Bank,PR-164-2011,14-Oct-11,201.7,181.4,"State Bank and Trust Company, Macon, GA has agreed to assume all deposits."
141," Ellington, MO",Sun Security Bank,PR-159-2011,7-Oct-11,355.9,290.4,"Great Southern Bank, Springfield, MO has agreed to assume all deposits."
142," Wyoming, MN",The RiverBank,PR-158-2011,7-Oct-11,417.4,379.3,"Central Bank, Stillwater, MN has agreed to assume all deposits."
143," Plano, TX",First International Bank,PR-156-2011,30-Sep-11,239.9,208.8,"American First National Bank, Houston, TX has agreed to assume all deposits."
144," Nevada City, CA",Citizens Bank of Northern California,PR-154-2011,23-Sep-11,288.8,253.1,"Tri Counties Bank, Chico, CA has agreed to assume all deposits."
145," Norfolk, VA",Bank of the Commonwealth,PR-153-2011,23-Sep-11,985.1,901.8,"Southern Bank and Trust Company, Mount Olive, NC has agreed to assume all deposits excluding certain brokered deposits."
146," Milton, FL",The First National Bank Of Florida,PR-149-2011,9-Sep-11,296.8,280.1,"CharterBank, West Point, GA has agreed to assume all deposits."
147," Woodstock, GA",CreekSide Bank,PR-146-2011,2-Sep-11,102.3,96.6,"Georgia Commerce Bank, Atlanta, GA has agreed to assume all deposits."
148," Cumming, GA",Patriot Bank of Georgia,PR-146-2011,2-Sep-11,150.8,111.2,"Georgia Commerce Bank, Atlanta, GA has agreed to assume all deposits."
149," Geneva, IL",First Choice Bank,PR-139-2011,19-Aug-11,141,137.2,"Inland Bank & Trust, Oak Brook, IL has agreed to assume all deposits excluding certain brokered deposits."
150," Statesboro, GA",First Southern National Bank,PR-138-2011,19-Aug-11,164.6,159.7,"Heritage Bank of the South, Albany, GA has agreed to assume all deposits excluding certain brokered deposits."
151," Palm Beach, FL",Lydian Private Bank,PR-137-2011,19-Aug-11,1700,1240,"Sabadell United Bank, National Association, Miami, FL has agreed to assume all deposits."
152," Huntingdon Valley, PA",Public Savings Bank,PR-136-2011,18-Aug-11,46.8,45.8,"Capital Bank, National Association, Rockville, MD has agreed to assume all deposits excluding certain brokered deposits."
153," Olathe, KS",The First National Bank of Olathe,PR-134-2011,12-Aug-11,538.1,524.3,"Enterprise Bank & Trust, Clayton, MO has agreed to assume all deposits excluding certain brokered deposits."
